Subject,Unit,Topic,Content,Learning_Objectives
BCS501,U1,Introduction," Overview, Database System vs File System, Database System Concept and Architecture, Data Model Schema and Instances, Data Independence and Database Language and Interfaces, Data Definitions Language, DML, Overall Database Structure. Data Modeling Using the Entity Relationship Model: ER Model Concepts, Notation for ER Diagram, Mapping Constraints, Keys, Concepts of Super Key, Candidate Key, Primary Key, Generalization, Aggregation, Reduction of an ER Diagrams to Tables, Extended ER Model, Relationship of Higher Degree.",Apply knowledge of database for real life applications
BCS501,U2,Relational data Model and Language,"Relational Data Model Concepts, Integrity Constraints, Entity Integrity, Referential Integrity, Keys Constraints, Domain Constraints, Relational Algebra, Relational Calculus, Tuple and Domain Calculus. Introduction on SQL: Characteristics of SQL, Advantage of SQL. SQl Data Type and Literals. Types of SQL Commands. SQL Operators and Their Procedure. Tables, Views and Indexes. Queries and Sub Queries. Aggregate Functions. Insert, Update and Delete Operations, Joins, Unions, Intersection, Minus, Cursors, Triggers, Procedures in SQL/PL SQL",Apply query processing techniques to automate the real time problems of databases
BCS501,U3,Data Base Design & Normalization,"Functional dependencies, normal forms, first, second, 8 third normal forms, BCNF, inclusion dependence, loss less join decompositions, normalization using FD, MVD, and JDs, alternative approaches to database design",Identify and solve the redundancy problem in database tables using normalization.
BCS501,U4,Transaction Processing Concept,"Transaction System, Testing of Serializability, Serializability of Schedules, Conflict & View Serializable Schedule, Recoverability, Recovery from Transaction Failures, Log Based Recovery, Checkpoints, Deadlock Handling. Distributed Database: Distributed Data Storage, Concurrency Control, Directory System.","Understand the concepts of transactions, their processing so they will familiar with broad range of database management issues including data integrity, security and recovery."
BCS501,U5,Concurrency Control Techniques,"Concurrency Control, Locking Techniques for Concurrency Control, Time Stamping Protocols for Concurrency Control, Validation Based Protocol, Multiple Granularity, Multi Version Schemes, Recovery with Concurrent Transaction, Case Study of Oracle.","Design, develop and implement a small database project using database tools."
BCAI501,U1,INTRODUCTION,Introduction�Definition � Future of Artificial Intelligence � Characteristics of Intelligent Agents� Typical Intelligent Agents � Problem Solving Approach to Typical AI problems,Understand the basics of the theory and practice of Artificial Intelligence as a discipline and about intelligent agents.
BCAI501,U2,PROBLEM SOLVING METHODS,Problem solving Methods � Search Strategies- Uninformed � Informed � Heuristics � Local Search Algorithms and Optimization Problems � Searching with Partial Observations � Constraint Satisfaction Problems � Constraint Propagation � Backtracking Search � Game Playing � Optimal Decisions in Games � Alpha � Beta Pruning � Stochastic Games,Understand search techniques and gaming theory.
BCAI501,U3,KNOWLEDGE REPRESENTATION,First Order Predicate Logic � Prolog Programming � Unification � Forward Chaining-Backward Chaining � Resolution � Knowledge Representation � Ontological Engineering-Categories and Objects � Events � Mental Events and Mental Objects � Reasoning Systems for Categories � Reasoning with Default Information,The student will learn to apply knowledge representation techniques and problem-solving strategies to common AI applications.
BCAI501,U4,SOFTWARE AGENTS,Architecture for Intelligent Agents � Agent communication � Negotiation and Bargaining � Argumentation among Agents � Trust and Reputation in Multi-agent systems.,Student should be aware of techniques used for classification and clustering
BCAI501,U5,APPLICATIONS,AI applications � Language Models � Information Retrieval- Information Extraction � Natural Language Processing � Machine Translation � Speech Recognition � Robot � Hardware � Perception � Planning � Moving,Student should aware of basics of pattern recognition and steps required for it.
